"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"Iguania","st croix",1,1,2
"Iguania","st lucia",4,1,5
"Iguania","st vincent",1,3,4
"Iguania","swan",0,3,3
"Iguania","testigos",0,2,2
"Iguania","tobago",2,3,5
"Iguania","tortuga",0,2,2
"Iguania","trinidad",5,4,9
"Iguania","turks",0,3,3
"Iguania","turneffe",1,0,1
"Iguania","utila",2,6,8
"Serpentes","anguilla",2,2,4
"Serpentes","antigua",0,2,2
"Serpentes","aruba",2,2,4
"Serpentes","aves",0,0,0
"Serpentes","barbados",2,2,4
"Serpentes","bermuda",0,0,0
"Serpentes","blanquilla",0,0,0
"Serpentes","bonaire",1,1,2
"Serpentes","caicos",1,3,4
"Serpentes","cay sal",0,2,2
"Serpentes","cayman brac",0,3,3
"Serpentes","chinchorro",0,0,0
"Serpentes","conception",0,1,1
"Serpentes","corn",1,6,7
"Serpentes","cozumel",1,7,8
"Serpentes","crooked acklins",0,3,3
"Serpentes","cuba",1,41,42
"Serpentes","curacao",1,2,3
"Serpentes","desecheo",0,1,1
"Serpentes","dominica",0,4,4
"Serpentes","glover",0,0,0
"Serpentes","grand cayman",2,4,6
"Serpentes","great bahama",3,6,9
"Serpentes","great inagua",0,4,4
"Serpentes","grenada",1,4,5
"Serpentes","guadeloupe",1,4,5
"Serpentes","guanaja",1,7,8
"Serpentes","hispaniola",0,33,33
"Serpentes","iles des saintes",0,1,1
"Serpentes","ilsa de providencia",0,2,2
"Serpentes","jamaica",0,9,9
"Serpentes","klein curacao",0,0,0
"Serpentes","las aves",0,1,1
"Serpentes","lighthouse atoll",0,0,0
"Serpentes","little bahama",5,3,8
"Serpentes","little cayman",0,2,2
"Serpentes","little inagua",1,0,1
"Serpentes","marie galante",0,2,2
"Serpentes","martinique",1,3,4
"Serpentes","mayaguana",0,0,0
"Serpentes","mira por vos",0,0,0
"Serpentes","mona",0,3,3
"Serpentes","monito",0,0,0
"Serpentes","monjes",0,0,0
"Serpentes","montserrat",1,2,3
"Serpentes","morant",0,0,0
"Serpentes","navassa",0,2,2
"Serpentes","orchila",0,0,0
"Serpentes","pedro",0,0,0
"Serpentes","plana cays",0,0,0
"Serpentes","puerto rico",2,12,14
